osm_id,category,name,name_ar,lat,lon,capacity,available,is_shelter,province,pm2_5,us_aqi,observation_time,wheelchair_accessible,ground_floor,medical_staff_onsite
281098720,school,مدرسة 5 جويلية 1962,مدرسة 5 جويلية 1962,36.27069064,6.50417214,2018,2018,True,Constantine,,,,,,
281098725,place_of_worship,مسجد السلام,مسجد السلام,36.26145012,6.47863524,2047,2047,True,Constantine,,,,,,
281098728,place_of_worship,,,36.26110328888889,6.488147566666666,1556,1556,True,Constantine,,,,,,
281098729,place_of_worship,Mosquée El Nour,مسجد النور,36.26032236923077,6.492026738461538,743,743,True,Constantine,,,,,,
281247351,school,ابتدائية بولوداني,ابتدائية بولوداني,36.26082674,6.48931694,1398,1398,True,Constantine,,,,,,
281891129,school,الثانوية الجديدة,الثانوية الجديدة,36.273506822222224,6.504104511111112,7382,7382,True,Constantine,,,,,,
281891134,health_facility,,,36.2680432,6.4996293,20,20,False,Constantine,,,,,,
281891135,school,ابتدائية بوطبر صالح,ابتدائية بوطبر صالح,36.267874383333336,6.49925755,1404,1404,True,Constantine,,,,,,
281891140,school,ابتدائية صاولي شريف,ابتدائية صاولي شريف,36.2682204,6.50256212,1258,1258,True,Constantine,,,,,,
282807618,school,CEM Yemmouna Guemmouh,,36.8751835875,6.9108540625,520,520,True,Skikda,,,,,,
282814147,school,Lycée Houcine Bouloudani,,36.86256766153846,6.9074234230769225,12314,12314,True,Skikda,,,,,,
282814934,school,Lycée Oussama Ibn Zaid,,36.859570260000005,6.90850892,5502,5502,True,Skikda,,,,,,
282815932,school,CEM Salah Djeffel,,36.86349571111111,6.911692599999999,3617,3617,True,Skikda,,,,,,
282815933,school,Ecole Primaire Laidi Boumalta,,36.86374882,6.91269664,2615,2615,True,Skikda,,,,,,
283024166,school,Lycée Souames Salah,,36.86513686428572,6.899262978571429,4332,4332,True,Skikda,,,,,,
283360470,school,Ecole primaire Belkheired Hacen,,36.19582534444445,5.401233122222222,1695,1695,True,Sétif,,,,,,
283368929,place_of_worship,مسجد القدس,مسجد القدس,36.22705489333334,5.394422933333333,2929,2929,True,Sétif,,,,,,
283372244,school,CEM Ahmed Ben Maiza,,36.184782675,5.4077183,5706,5706,True,Sétif,,,,,,
283394228,school,Ecole Primaire Salah Bouteldja,,36.8675255,6.904604133333333,1224,1224,True,Skikda,,,,,,
283394230,school,Ecole Primaire Laifa Rabah,,36.8667253625,6.9045200125,1208,1208,True,Skikda,,,,,,
283402356,school,CEM Salem Sobhi,,36.86529893,6.90286905,5501,5501,True,Skikda,,,,,,
283402436,place_of_worship,Centre Culturel Islamique,,36.86562105,6.902958699999999,1637,1637,True,Skikda,,,,,,
283530701,school,Ecole Primaire Mokhtar Hambarek,,36.86683037777778,6.912442555555556,5006,5006,True,Skikda,,,,,,
283531879,school,,,36.86464928,6.908372299999999,868,868,True,Skikda,,,,,,
283531881,school,CEM Ibn Djoubair,,36.86773683333333,6.9083492,4026,4026,True,Skikda,,,,,,
283532936,school,,,36.86243774285714,6.915285814285714,2246,2246,True,Skikda,,,,,,
283532937,school,,,36.8632922,6.917127416666666,1741,1741,True,Skikda,,,,,,
283533384,school,,,36.86037151666667,6.90907985,1484,1484,True,Skikda,,,,,,
283534378,school,,,36.86643537142857,6.901841500000001,2112,2112,True,Skikda,,,,,,
283534379,school,,,36.86400666666667,6.903515811111111,2317,2317,True,Skikda,,,,,,
283534381,school,,,36.86330227777778,6.905477133333333,2203,2203,True,Skikda,,,,,,
283534382,place_of_worship,Mosquée Ghazouet Badr,,36.86442588333333,6.909654666666667,1584,1584,True,Skikda,,,,,,
283534383,place_of_worship,Mosquée 01 Novembre 1954,,36.8647929,6.924859785714285,5368,5368,True,Skikda,,,,,,
283716403,school,,,36.859683233333335,6.925585922222222,1536,1536,True,Skikda,,,,,,
283716408,school,Lycée Zeramna,,36.85929821875,6.9243976625000005,5922,5922,True,Skikda,,,,,,
283716410,school,CEM Boulkeroua Eljadida,,36.86028212307692,6.924949946153846,2589,2589,True,Skikda,,,,,,
283716422,school,,,36.8573315,6.924994771428572,1941,1941,True,Skikda,,,,,,
283716424,place_of_worship,,,36.85706088888889,6.924318666666666,855,855,True,Skikda,,,,,,
283716434,school,,,36.8590970625,6.9193465375,2363,2363,True,Skikda,,,,,,
283717010,place_of_worship,,,36.85877144,6.90242774,918,918,True,Skikda,,,,,,
283717011,school,,,36.8584752,6.89957814,2411,2411,True,Skikda,,,,,,
283717051,school,Centre de formation professionnelle Aissa Boukarma,,36.86097166,6.90280076,1501,1501,True,Skikda,,,,,,
283717052,school,CEM Elmoukawim Si Zaghdoud,,36.86102187777778,6.9035398444444445,3514,3514,True,Skikda,,,,,,
283722824,health_facility,Polyclinique 700 Logements,مستوصف 700 مسكن,36.8670253875,6.9006431875,100,100,False,Skikda,,,,,,
283790655,place_of_worship,Mosquée el Koubia,,36.86840846,6.90445336,647,647,True,Skikda,,,,,,
283882713,school,,,36.867538725,6.8989725625,2031,2031,True,Skikda,,,,,,
283882830,school,,,36.86706611111111,6.892167888888888,1654,1654,True,Skikda,,,,,,
283884092,school,,,36.8733349,6.898779328571428,1155,1155,True,Skikda,,,,,,
283884276,school,,,36.86856848,6.90551046,962,962,True,Skikda,,,,,,
284148818,school,Ecole Primaire Houcine Laaouar,,36.87135616,6.9046209,1019,1019,True,Skikda,,,,,,
284150264,school,CEM Salah Daoud,,36.87231911428571,6.907057,1207,1207,True,Skikda,,,,,,
284336122,school,,,36.870432375,6.9141395,1770,1770,True,Skikda,,,,,,
284336124,health_facility,Clinique Abu Al-Quassim,Clinique Abu Al-Quassim ( Hammani ),36.86980027272728,6.9144036363636365,100,100,False,Skikda,,,,,,
284336529,place_of_worship,,,36.87116958,6.91359024,9660,9660,True,Skikda,,,,,,
284336530,place_of_worship,,,36.87147248,6.91408214,1412,1412,True,Skikda,,,,,,
284336752,school,,,36.86825624285715,6.917915442857143,4095,4095,True,Skikda,,,,,,
284336753,school,CEM Aouad Zidane,,36.86855792857143,6.919561128571429,8460,8460,True,Skikda,,,,,,
284354317,school,Ecole Moyenne Bachir El Ibrahimi,,36.86978447692308,6.908544969230769,2363,2363,True,Skikda,,,,,,
284552925,health_facility,Centre Médico-Sociale Sonatrach,,36.87040552,6.91132402,20,20,False,Skikda,,,,,,
284739968,school,,,36.8794141375,6.92355715,3301,3301,True,Skikda,,,,,,
284745656,school,,,36.87429693846154,6.9201994,820,820,True,Skikda,,,,,,
284745663,school,,,36.87792352,6.9234352,1844,1844,True,Skikda,,,,,,
284751735,place_of_worship,,,36.87516622,6.924214860000001,862,862,True,Skikda,,,,,,
284753506,place_of_worship,مسجد التوبة,مسجد التوبة,36.87987226,6.91498034,677,677,True,Skikda,,,,,,
286006973,place_of_worship,,,36.862626,6.915725159999999,651,651,True,Skikda,,,,,,
286986027,school,CEM Bouzghaia,,36.87605904,6.88697472,4081,4081,True,Skikda,,,,,,
286990269,place_of_worship,Mosquée El Fourkan,,36.87067731111111,6.907900244444445,2866,2866,True,Skikda,,,,,,
287076502,school,,,36.87335214285714,6.867864114285714,1809,1809,True,Skikda,,,,,,
288655614,school,,,36.1853195,5.4165497,1857,1857,True,Sétif,,,,,,
288655617,place_of_worship,Mosquée Anas Ibn Malek,,36.19460480666667,5.42876142,1320,1320,True,Sétif,,,,,,
288655618,health_facility,طبيبة خلود,طبيبة خلود,36.19519118,5.428494339999999,100,100,False,Sétif,,,,,,
288658555,place_of_worship,Mosquée Errahmane مسجد الرحمان,مسجد الرحمان,36.20654555,5.443912966666667,3673,3673,True,Sétif,,,,,,
288833911,school,Lycée technique Bougherdaïne,,36.49774466666666,6.077376244444444,11466,11466,True,Mila,,,,,,
289941087,place_of_worship,,,36.74367367142857,7.123933985714286,1202,1202,True,Skikda,,,,,,
291857306,place_of_worship,Mosquée Chikh Larbi Lalaoui,مسجد الشيخ العربي لعلاوي,36.2315078,6.9445648,1093,1093,True,Constantine,,,,,,
291857315,school,Lycée Abdelhamid Mehri,,36.2331431,6.9423559571428575,6088,6088,True,Constantine,,,,,,
291857346,health_facility,Hopital,,36.233945825,6.9460076125,100,100,False,Constantine,,,,,,
291864498,school,Ecole Beroual Fodhil,,36.20799928,6.80083412,944,944,True,Constantine,,,,,,
291864507,school,Ecole Hannachi Laib,,36.2077875,6.8153294,884,884,True,Constantine,,,,,,
291864528,school,Ecole Hamdani Grabsi,,36.21028686666667,6.8073154,1210,1210,True,Constantine,,,,,,
291864539,school,CEM Ahmed Radjouah,,36.20650070000001,6.81750956,2388,2388,True,Constantine,,,,,,
292660897,place_of_worship,,,36.49441318461538,5.101909699999999,1066,1066,True,Béjaïa,,,,,,
292660901,place_of_worship,Mosquée Ali Ben Abitaleb,,36.50278448181818,5.116758781818182,385,385,True,Béjaïa,,,,,,
292660918,school,CEM Ali Zermani,,36.49282245263158,5.102491721052632,5157,5157,True,Béjaïa,,,,,,
292665758,place_of_worship,Mosquée Khalied Ibn El Walid,,36.4517205,5.09665924,310,310,True,Béjaïa,,,,,,
292737414,school,CEM Mouffek Mahieddine,,36.39492434444444,5.073908905555555,3911,3911,True,Sétif,,,,,,
292737420,school,Lycée Lakhdar Meglatti,,36.39375631818182,5.079705563636363,8706,8706,True,Sétif,,,,,,
292791008,school,,,36.465521775,4.962877654166666,2383,2383,True,Béjaïa,,,,,,
292791024,school,Ecole Ahmed Bouchiba,,36.475520683333336,4.9596261,634,634,True,Béjaïa,,,,,,
292791028,school,Ecole Mhenni Mohand,,36.46615437142857,4.964727478571429,1350,1350,True,Béjaïa,,,,,,
292806605,health_facility,,,36.72226825,7.725867325,100,100,False,Annaba,,,,,,
292872444,school,المدرسة الإبتدائية مارس محمد,المدرسة الإبتدائية مارس محمد,36.8010889125,5.7693021625,1827,1827,True,Jijel,,,,,,
292971967,place_of_worship,,,36.31932854,4.845243699999999,151,151,True,Bordj Bou Arréridj,,,,,,
293316610,place_of_worship,El Takwa,مسجد التقوى,36.7226497,7.7253436142857135,1066,1066,True,Annaba,,,,,,
293318397,school,Zouaghi Aboud,زواغي عبود,36.7207964375,7.7248776,1670,1670,True,Annaba,,,,,,
293320067,school,Sakai Abelkader,,36.72411757142857,7.730658042857143,2324,2324,True,Annaba,,,,,,
293320361,school,Zourami 3,,36.7241453,7.726097785714286,1422,1422,True,Annaba,,,,,,
293320382,school,CEM Maouch Mouhamed,,36.72312365714286,7.7231089,3968,3968,True,Annaba,,,,,,
293400412,school,CEM,,36.32759300769231,4.933695692307693,1445,1445,True,Bordj Bou Arréridj,,,,,,
293400415,school,Ecole Mokhtar Oughlissi,,36.32520091818182,4.926710563636363,761,761,True,Bordj Bou Arréridj,,,,,,
293400425,place_of_worship,,,36.3243611,4.925033399999999,340,340,True,Bordj Bou Arréridj,,,,,,
293403953,place_of_worship,,,36.33807622,4.9484265,392,392,True,Bordj Bou Arréridj,,,,,,
293412547,school,CEM Embarek Attoui,,36.3365805,5.0489413785714286,4236,4236,True,Sétif,,,,,,
293414759,school,Lycée Attoui Abdallah,,36.345873016666665,5.032558033333334,3939,3939,True,Sétif,,,,,,
293419893,school,Ecole Rahrah Derradji,,36.34680016,5.04307927,1024,1024,True,Sétif,,,,,,
293423402,school,Ecole Cheniti Lakhdar,,36.32966732,4.99924296,527,527,True,Bordj Bou Arréridj,,,,,,
293423406,place_of_worship,Mosquée Benbadis,,36.33085275714286,5.001900771428572,258,258,True,Bordj Bou Arréridj,,,,,,
293424987,school,Lycée Laifa Bouregba,,36.33043775714286,5.065427107142857,5185,5185,True,Sétif,,,,,,
293426102,place_of_worship,,,36.33053201428572,5.061177328571429,461,461,True,Sétif,,,,,,
293426104,place_of_worship,,,36.33157166,5.06953408,473,473,True,Sétif,,,,,,
293823774,school,CEM Haddadji Hocine,,36.33188149,5.10638905,3909,3909,True,Sétif,,,,,,
293824677,place_of_worship,Mosquée Othmane Ibn Afane,,36.33220274444445,5.109317977777778,828,828,True,Sétif,,,,,,
