LAT,LON,YEAR,DOY,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS2M,fire_occurred,fire_count,frp_sum,frp_mean,frp_max,brightness_mean,bright_t31_mean,any_high_confidence,WD2M
36.0,5.0,2020,8,1.13,86.28,11.45,1.38,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,8,1.34,87.75,10.76,3.05,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,8,2.9,90.9,10.7,3.83,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,8,5.12,91.75,10.15,4.05,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,8,7.68,92.19,9.74,4.07,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,8,8.84,91.2,11.18,4.42,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,8,3.35,91.08,11.52,4.77,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,8,2.78,90.02,11.18,5.45,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.25,2020,8,3.69,92.89,11.84,4.79,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,8,5.41,93.78,11.82,4.59,2.14,1.0,2.0,4.59,2.295,2.36,314.81,277.77,0.0,
36.5,7.5,2020,8,7.56,93.26,12.51,5.02,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,8,7.43,94.23,11.17,6.29,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,8,1.93,79.0,15.04,12.64,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,8,2.01,79.71,14.82,12.88,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,8,2.68,82.31,14.36,11.18,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,8,3.87,81.91,14.98,11.94,4.26,1.0,1.0,4.18,4.18,4.18,326.26,281.04,0.0,
37.0,7.5,2020,8,5.75,82.01,15.54,12.46,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,8.125,2020,8,8.26,83.09,15.25,12.9,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,9,18.07,90.91,8.71,0.95,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,9,16.57,91.85,7.75,1.94,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,9,8.16,91.66,8.36,0.79,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,9,3.52,89.21,8.54,0.34,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,9,3.67,87.64,9.08,0.5,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,9,2.36,86.1,11.17,1.93,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,9,7.71,95.61,8.25,2.48,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,9,8.3,91.17,9.11,3.72,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.25,2020,9,4.72,88.31,11.28,3.48,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,9,2.6,85.53,12.11,3.07,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,9,1.69,83.75,13.29,3.8,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,9,0.84,85.53,12.62,3.63,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,9,3.1,80.96,14.04,12.34,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,9,3.02,79.48,13.72,11.96,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,9,2.18,79.85,13.87,10.2,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,9,1.18,77.82,14.88,10.3,2.68,1.0,3.0,12.16,4.053333333333334,4.42,338.43,287.38666666666666,0.0,
37.0,7.5,2020,9,0.44,77.08,15.6,10.33,2.85,1.0,1.0,3.67,3.67,3.67,340.1,288.79,0.0,
37.0,8.125,2020,9,0.56,77.36,15.45,10.66,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,10,2.27,83.66,8.35,1.11,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,10,2.06,82.29,8.42,-0.28,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,10,0.37,80.04,10.89,-1.06,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,10,0.17,79.99,11.13,-0.99,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,10,0.09,78.87,10.93,-0.7,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,10,0.02,75.07,12.76,0.24,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,10,1.66,90.62,10.57,1.64,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,10,2.52,84.72,10.79,3.47,1.43,1.0,1.0,0.42,0.42,0.42,295.37,273.98,0.0,
36.5,6.25,2020,10,0.34,84.31,12.8,1.19,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,10,0.1,81.35,13.5,1.24,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,7.5,2020,10,0.02,76.06,14.69,2.29,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,10,0.01,76.85,14.08,1.35,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,10,1.91,80.49,13.57,11.94,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,10,1.89,78.94,13.69,11.23,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,10,0.51,79.17,14.01,8.83,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,10,0.14,74.69,15.01,8.41,2.44,1.0,18.0,31.71,1.7616666666666667,3.27,317.84,280.21833333333336,0.0,
37.0,7.5,2020,10,0.01,73.83,15.76,7.89,2.77,1.0,3.0,3.83,1.2766666666666666,2.6,307.2333333333333,278.73,0.0,
37.0,8.125,2020,10,0.0,72.79,16.01,8.5,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,11,1.2,90.22,8.55,-0.02,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,11,1.4,90.81,8.08,-0.01,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,11,2.99,91.36,8.62,1.65,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,11,3.75,91.23,8.99,2.05,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,11,4.14,89.36,9.09,1.65,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,11,2.6,81.58,10.81,3.04,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.0,2020,11,3.32,91.84,10.55,4.98,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,5.625,2020,11,2.89,86.57,9.79,5.82,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.25,2020,11,3.09,87.64,10.77,6.12,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,6.875,2020,11,3.36,91.9,11.32,4.51,1.51,1.0,1.0,1.29,1.29,1.29,299.72,274.05,0.0,
36.5,7.5,2020,11,4.46,90.38,12.32,3.79,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.5,8.125,2020,11,4.63,85.29,12.14,4.16,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.0,2020,11,2.08,78.37,13.43,12.1,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,5.625,2020,11,2.2,75.02,13.44,12.21,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.25,2020,11,2.06,77.43,13.58,10.95,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,6.875,2020,11,1.76,78.02,14.38,10.94,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,7.5,2020,11,2.56,76.86,14.75,11.68,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,8.125,2020,11,4.64,76.9,14.32,11.3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.0,2020,12,6.82,95.22,6.26,3.75,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,5.625,2020,12,8.09,93.24,7.81,4.12,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.25,2020,12,7.15,94.26,8.53,4.89,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,6.875,2020,12,7.62,94.98,8.05,4.69,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,7.5,2020,12,9.64,94.82,8.11,4.47,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,8.125,2020,12,12.48,93.01,10.23,4.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
